point_index,x,y,z,gap_effect,gap_effect_normalized,gap_baseline,homo_effect,homo_effect_normalized,homo_baseline,lumo_effect,lumo_effect_normalized,lumo_baseline
367,8.033013,18.501128,18.929702,-0.06981376049246,-0.8404376978387091,0.7277855840285482,-0.2470992502839,0.6863505186809775,1.7785305759749417,-0.31691301077636,-0.5186532471252576,2.50631616000349
368,10.811782,18.521694,18.725885,-0.05944494093335,-0.8047383067353029,0.7277855840285482,-0.25437869739781,0.6571236497580975,1.7785305759749417,-0.31382363833117,-0.4844726747598006,2.50631616000349
369,14.920186,21.301562,16.052502,0.01151553875149,-0.5604244865638723,0.7277855840285482,-0.2047688322391,0.8563065002667221,1.7785305759749417,-0.19325329348762,0.8495080835231557,2.50631616000349
370,14.086408,20.649714,16.046534,0.01911184698919,-0.5342707303745847,0.7277855840285482,-0.22484014947587,0.7757204682770578,1.7785305759749417,-0.20572830248668,0.7114855707257808,2.50631616000349
371,14.709454,23.331513,15.491732,0.00534495840647,-0.5816695241321379,0.7277855840285482,-0.19696348461538,0.8876448517000421,1.7785305759749417,-0.19161852620892,0.8675950193852542,2.50631616000349
372,13.984207,24.028288,15.216783,0.003129704549,-0.5892965460318169,0.7277855840285482,-0.19864386088119,0.880898166671161,1.7785305759749417,-0.19551415633219,0.8244940758441806,2.50631616000349
373,7.816095,19.555872,24.3119,-0.11194214915042,-0.9854838927968849,0.7277855840285482,-0.23439012384075,0.7373774671381579,1.7785305759749417,-0.34633227299117,-0.8441456372180336,2.50631616000349
374,10.255214,21.243121,24.308624,-0.11170895347489,-0.9846810103108979,0.7277855840285482,-0.23965827939532,0.7162259030908631,1.7785305759749417,-0.35136723287022,-0.8998520350565291,2.50631616000349
375,14.802968,23.895317,14.652826,0.00555511744956,-0.5809459557615614,0.7277855840285482,-0.19105351888417,0.9113732737988476,1.7785305759749417,-0.18549840143461,0.9353075957887969,2.50631616000349
376,10.934526,20.576503,23.996579,-0.10859809327924,-0.9739704550582554,0.7277855840285482,-0.23413349599158,0.7384078240309662,1.7785305759749417,-0.34273158927082,-0.8043079573487242,2.50631616000349
377,13.847588,24.14516,14.222298,0.00336963055124,-0.5884704913260701,0.7277855840285482,-0.19945569810496,0.8776386526236586,1.7785305759749417,-0.19608606755372,0.8181664953271215,2.50631616000349
378,10.800938,20.588854,10.618515,0.04113827064586,-0.45843471951084913,0.7277855840285482,-0.30289998400761,0.46231142548844284,1.7785305759749417,-0.26176171336175,0.09153634502440777,2.50631616000349
379,11.513052,21.369519,19.063692,-0.03490200910131,-0.7202380685643689,0.7277855840285482,-0.21990199198051,0.7955470951594259,1.7785305759749417,-0.25480400108182,0.16851592333729348,2.50631616000349
380,11.488864,23.561451,10.544366,-0.02552238089671,-0.6879444199217556,0.7277855840285482,-0.23199878567932,0.7469786533135259,1.7785305759749417,-0.25752116657604,0.13845341923594767,2.50631616000349
381,13.454614,21.39342,18.302967,-0.01095787487023,-0.6377994642782363,0.7277855840285482,-0.20668362625756,0.8486186315431612,1.7785305759749417,-0.21764150112779,0.5796788832897903,2.50631616000349
382,11.476786,20.534673,16.283603,0.02422267718689,-0.5166743660969859,0.7277855840285482,-0.27242163577997,0.5846815278734114,1.7785305759749417,-0.24819895859308,0.24159359097649236,2.50631616000349
383,14.140957,21.675601,17.62415,-0.00397614403413,-0.6137616711354614,0.7277855840285482,-0.20157381951925,0.8691344275129484,1.7785305759749417,-0.20554996355337,0.7134586985773845,2.50631616000349
384,13.710571,20.812648,17.307422,0.0019293192663,-0.5934294199272092,0.7277855840285482,-0.2156725090457,0.8125284045106593,1.7785305759749417,-0.21374318977939,0.6228094916936184,2.50631616000349
385,10.837719,23.761807,15.741808,-0.00342489805813,-0.611863755410415,0.7277855840285482,-0.22723253856265,0.7661150626524689,1.7785305759749417,-0.23065743662077,0.4356716025507539,2.50631616000349
386,13.250985,23.509687,19.758409,-0.0207389712682,-0.6714753503075637,0.7277855840285482,-0.18329915001196,0.9425069463238769,1.7785305759749417,-0.20403812128016,0.7301856019020605,2.50631616000349
387,7.943785,19.301425,19.8183,-0.08432069742155,-0.89038444560413,0.7277855840285482,-0.24160548133568,0.7084079170561091,1.7785305759749417,-0.32592617875724,-0.6183742247277293,2.50631616000349
388,11.088715,19.709766,19.319385,-0.06935244734434,-0.838849416896795,0.7277855840285482,-0.24630623694571,0.68953445511553,1.7785305759749417,-0.31565868429005,-0.5047754780974472,2.50631616000349
389,13.824112,24.111106,19.186892,-0.01489329746142,-0.651348951704376,0.7277855840285482,-0.17672105108622,0.9689179129887717,1.7785305759749417,-0.19161434854764,0.8676412406992047,2.50631616000349
390,13.747941,22.852442,19.166334,-0.01633967301156,-0.6563287593047008,0.7277855840285482,-0.18728938899555,0.9264861977808312,1.7785305759749417,-0.20362906200711,0.7347114013426606,2.50631616000349
391,10.995998,19.479478,18.349735,-0.04994348391298,-0.772025206821786,0.7277855840285482,-0.25128315445581,0.6695522073662843,1.7785305759749417,-0.3012266383688,-0.3451004635938003,2.50631616000349
392,14.104202,23.33041,18.361117,-0.01087945650541,-0.6375294732865482,0.7277855840285482,-0.18537076222329,0.93418945495233,1.7785305759749417,-0.1962502187287,0.8163503397114351,2.50631616000349
393,12.893803,25.143107,17.81613,-0.01195559813351,-0.6412345817268282,0.7277855840285482,-0.18166802985693,0.949055868820674,1.7785305759749417,-0.19362362799044,0.8454107318772663,2.50631616000349
394,7.527092,20.389064,23.798277,-0.10303555214066,-0.9548188698172447,0.7277855840285482,-0.23286846864798,0.7434868894842486,1.7785305759749417,-0.33590402078864,-0.7287682797198227,2.50631616000349
395,12.454223,25.344135,16.915417,-0.00974868350129,-0.6336362714140376,0.7277855840285482,-0.18359092741996,0.9413354644894973,1.7785305759749417,-0.19333961092125,0.8485530742651479,2.50631616000349
396,10.5068,21.745482,23.463576,-0.09604909084734,-0.9307647899176763,0.7277855840285482,-0.22725577239519,0.766021779169864,1.7785305759749417,-0.32330486324254,-0.5893721972180976,2.50631616000349
397,13.232023,24.804619,16.591393,-0.00689565069242,-0.6238134045491962,0.7277855840285482,-0.1867136094358,0.928797943914563,1.7785305759749417,-0.19360926012822,0.8455696967683761,2.50631616000349
